consult_id,difficulty,channel,resolved
S01861,복잡,상담원,True
S00354,단순,챗봇,True
S01334,복잡,상담원,False
S00906,단순,상담원,True
S01290,복잡,상담원,False
S01274,복잡,상담원,True
S00939,단순,상담원,True
S01732,복잡,상담원,False
S00066,단순,챗봇,True
S01324,복잡,상담원,True
S00057,단순,챗봇,True
S01293,복잡,상담원,False
S01119,복잡,상담원,False
S00585,단순,챗봇,True
S00375,단순,챗봇,True
S00276,단순,챗봇,True
S00747,단순,챗봇,True
S00129,단순,챗봇,True
S01647,복잡,상담원,False
S01853,복잡,상담원,True
S00675,단순,챗봇,True
S01665,복잡,상담원,False
S01982,복잡,상담원,True
S01084,복잡,챗봇,False
S01923,복잡,상담원,False
S00100,단순,챗봇,True
S01180,복잡,상담원,False
S00965,단순,상담원,True
S00793,단순,챗봇,True
S00030,단순,챗봇,True
S00629,단순,챗봇,True
S00945,단순,상담원,True
S00573,단순,챗봇,True
S00908,단순,상담원,True
S01081,복잡,챗봇,False
S00451,단순,챗봇,True
S01610,복잡,상담원,False
S01291,복잡,상담원,True
S01079,복잡,챗봇,False
S00255,단순,챗봇,True
S00125,단순,챗봇,True
S01928,복잡,상담원,False
S00252,단순,챗봇,True
S00586,단순,챗봇,True
S01569,복잡,상담원,True
S00825,단순,챗봇,True
S00508,단순,챗봇,True
S00890,단순,챗봇,False
S00071,단순,챗봇,True
S01609,복잡,상담원,True
S01533,복잡,상담원,True
S00248,단순,챗봇,True
S01451,복잡,상담원,False
S00213,단순,챗봇,True
S00910,단순,상담원,True
S01742,복잡,상담원,True
S01245,복잡,상담원,False
S01697,복잡,상담원,False
S01183,복잡,상담원,True
S00362,단순,챗봇,True
S01474,복잡,상담원,True
S00679,단순,챗봇,True
S01622,복잡,상담원,True
S01090,복잡,챗봇,False
S01988,복잡,상담원,False
S01848,복잡,상담원,False
S00988,단순,상담원,True
S01513,복잡,상담원,False
S00112,단순,챗봇,True
S01488,복잡,상담원,False
S01454,복잡,상담원,True
S00384,단순,챗봇,True
S01396,복잡,상담원,False
S01055,복잡,챗봇,False
S00756,단순,챗봇,True
S00325,단순,챗봇,True
S01624,복잡,상담원,False
S00788,단순,챗봇,True
S00369,단순,챗봇,True
S01820,복잡,상담원,False
S00070,단순,챗봇,True
S00858,단순,챗봇,True
S01484,복잡,상담원,False
S01556,복잡,상담원,True
S01692,복잡,상담원,False
S01475,복잡,상담원,True
S01799,복잡,상담원,True
S00479,단순,챗봇,True
S00282,단순,챗봇,False
S01648,복잡,상담원,False
S01557,복잡,상담원,False
S01730,복잡,상담원,True
S00211,단순,챗봇,True
S00298,단순,챗봇,True
S01885,복잡,상담원,False
S01834,복잡,상담원,False
S00652,단순,챗봇,True
S01234,복잡,상담원,False
S01503,복잡,상담원,False
S01932,복잡,상담원,False
S00917,단순,상담원,True
S00994,단순,상담원,True
S00430,단순,챗봇,True
S01371,복잡,상담원,False
S00240,단순,챗봇,True
S00880,단순,챗봇,True
S00621,단순,챗봇,True
S00257,단순,챗봇,True
S00612,단순,챗봇,True
S00545,단순,챗봇,True
